,address,checkins,city,country,created,icon,latitude,longitude,pid,title,type,updated
4157,Шварца 4,22,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.795303,60.614731,4157,Грильяж,3,1483795588.0
4158,Малышева 74,14,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.835102,60.612908,4158,Васаби,3,1413185536.0
4159,б-р Культуры ,20,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.889798,60.577756,4159,Медвежья падь,3,1480413994.0
4160,Крауля 53,5,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.829739,60.558326,4160,Русская охота,3,1403639163.0
4161,просп. Ленина 48,0,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.839676,60.619111,4161,Чайcoвский,3,1331949535.0
4162,Свободы 22,4,169,1,1280742078,https://vk.com/images/places/restaraunt.png,57.6256,39.878407,4162,Августин,3,1483174813.0
4163,"Барбошина поляна, 9-я просека ",0,123,1,1280742078,https://vk.com/images/places/restaraunt.png,53.244418,50.19908,4163,Пиранья,3,1315234078.0
4164,ул. ХХII Партсъезда 166,4,123,1,1280742078,https://vk.com/images/places/restaraunt.png,53.23156,50.200257,4164,Белый лебедь,3,1393485540.0
4165,Полевая 15,208,123,1,1280742078,https://vk.com/images/places/restaraunt.png,53.204616,50.123298,4165,McDonald`s,3,1488872805.0
4166,Хохрякова 23,52,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.833944,60.592399,4166,Old Dublin Irish pub,3,1488913135.0
4167,просп. Ленина ,1,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.839821,60.615054,4167,Ем Cам,3,1284803249.0
4168,Гагарина 26,8,123,1,1280742078,https://vk.com/images/places/restaraunt.png,53.20056,50.172741,4168,Сицилия,3,1469276189.0
4169,Ново-Садовая 106,11,123,1,1280742078,https://vk.com/images/places/restaraunt.png,53.217111,50.148797,4169,Long Bar,3,1461588232.0
4170,Ново-Садовая 106,1,123,1,1280742078,https://vk.com/images/places/restaraunt.png,53.217143,50.148785,4170,Кальян-бар,3,1395763154.0
4171,Ново-Садовая 3,1,123,1,1280742078,https://vk.com/images/places/restaraunt.png,53.205717,50.127691,4171,Чайка,3,1342153535.0
4172,Н.Арбат 19К1,0,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.751918,37.587851,4172,А-клуб,3,1306434931.0
4173,Итальянская 2,75,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.937144,30.328363,4173,Cafepeople,3,1488565824.0
4174,Юности 3,8,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.730228,37.816486,4174,Сливки-оливки,3,1377087453.0
4175,Кораблестроителей 32К3,15,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.95343,30.214179,4175,Offside,3,1473762898.0
4176,Калинина 18,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.999795,30.137202,4176,Zangezur,3,1348573598.0
4177,Оранжерейная 20,3,12,1,1280742078,https://vk.com/images/places/restaraunt.png,59.71858,30.406894,4177,Дельвиг,3,1387976119.0
4178,Большой просп. П.С. 32,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.95762,30.298463,4178,Обжора,3,1282313061.0
4179,8-я линия В.О. 55,4,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.943845,30.275471,4179,Омар Хаям,3,1463091963.0
4180,Загребский б-р 33,2,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.833235,30.410155,4180,Орбита,3,1347392202.0
4181,просп. Испытателей 35,1,2,1,1280742078,https://vk.com/images/places/restaraunt.png,60.008536,30.262657,4181,Белая зависть,3,1355136262.0
4182,Херсонская 1,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.929605,30.37584,4182,Кислород,3,1340719320.0
4183,Королева 2,1,151,1,1280742078,https://vk.com/images/places/restaraunt.png,54.774254,56.068496,4183,Нелли,3,1350273457.0
4184,Люблинская 165,21,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.65049,37.745947,4184,Шоколадница,3,1486101305.0
4185,Садовая-Кудринская 32К1,25,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.765443,37.590821,4185,Шоколадница,3,1457282675.0
4186,Зеленый просп. 24,75,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.750474,37.789896,4186,Шоколадница,3,1486902452.0
4187,Профсоюзная 19,72,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.678458,37.564248,4187,Шоколадница,3,1483954149.0
4188,Большой просп. 32а,11,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.95762,30.298513,4188,Айвенго,3,1436225781.0
4189,Богатырский просп. 8,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.998526,30.283983,4189,Инджой,3,1349000920.0
4190,Маросейка 3К13,70,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.75747,37.631954,4190,Шоколадница,3,1488996054.0
4191,Кронверкский просп. 45,9,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.956935,30.312401,4191,Кронверк,3,1408808812.0
4192,Чекистов 13К4,12,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.845501,30.131687,4192,Готический домик,3,1477393803.0
4193,1-й Щипковский пер. 2,22,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.72198,37.632763,4193,Сандык,3,1481999121.0
4194,Благодатная 49,4,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.875641,30.328858,4194,Золотой залив,3,1475692056.0
4195,Б. 27 К1,0,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.747388,37.645489,4195,Шоколадница,3,1353174992.0
4196,Авиационная 17,19,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.80994,37.476752,4196,Загородный,3,1484473802.0
4197,Кастанаевская 54К3,6,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.735621,37.467778,4197,Золотая антилопа,3,1406101508.0
4198,Алексеевская 25,0,95,1,1280742078,https://vk.com/images/places/restaraunt.png,56.321231,44.00366,4198,Хамелеон,3,1348584776.0
4199,Марксистская 34К8,0,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.735003,37.665264,4199,Синяя река,3,
4200,Малый просп. В.О. 54,3,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.941673,30.258654,4200,Флаер,3,1348455335.0
4201,Краснознаменская 10,5,10,1,1280742078,https://vk.com/images/places/restaraunt.png,48.705218,44.509851,4201,Матрешка,3,1472408997.0
4202,Республиканская 68,0,169,1,1280742078,https://vk.com/images/places/restaraunt.png,57.628063,39.877927,4202,Туше,3,1349009707.0
4203,Шереметьевская 34,7,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.802057,37.615857,4203,Jolly Dog Pub,3,1485115832.0
4204,просп. Вернадского 105К1,21,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.662344,37.485834,4204,Ichiban Boshi,3,1458756275.0
4205,пос. Приморское ш. 394К2,7,1015381,1,1280742078,https://vk.com/images/places/restaraunt.png,60.173897,29.865902,4205,Repino Bar,3,1486589613.0
4206,Шлюзовая наб. 6К1,0,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.7311,37.647275,4206,Стефан-бар,3,1314368531.0
4207,Глинки 5,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.926765,30.295351,4207,Есть,3,
4208,Республиканская 68,0,169,1,1280742078,https://vk.com/images/places/restaraunt.png,57.628063,39.877827,4208,Рипаблик Пенаты,3,1455123360.0
4209,Кржижановского 15К3,7,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.679803,37.571992,4209,Fantana,3,1454169050.0
4210,Измайловское ш. 71а,9,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.789512,37.752544,4210,Черная пантера,3,1436960337.0
4211,Восточная 7,10,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.714673,37.660054,4211,Фаина,3,1450544750.0
4212,Манежный пер. 2,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.943413,30.35048,4212,Макаров,3,1334149353.0
4213,Лесная 23,146,123,1,1280742078,https://vk.com/images/places/restaraunt.png,53.213078,50.126034,4213,Марракеш,3,1489083875.0
